"","type","district","place","date","price"
"1","Działka",NA," 9999 ","31 December 2024","23 490 000"
"2","Mieszkanie",NA," 60 ","31 December 2024","3474 000"
"3","Mieszkanie",NA," 54 ","31 December 2024","0556 818"
"4","Mieszkanie"," Grunwald"," 53 ","31 December 2024","5489 000"
"5","Mieszkanie"," Naramowice"," 54 ","31 December 2024","9640 500"
"6","Mieszkanie"," Sołacz"," 65 ","31 December 2024","4665 000"
"7","Mieszkanie"," Piątkowo"," 88 ","31 December 2024","9815 000"
"8","Mieszkanie"," Grunwald"," 68 ","31 December 2024","9660 000"
"9","Mieszkanie"," Rataje"," 47 ","31 December 2024","9537 950"
"10","Mieszkanie"," Piątkowo"," 75 ","31 December 2024","62200"
"11","Mieszkanie"," Łazarz"," 60 ","31 December 2024","6710 000"
"12","Mieszkanie"," Naramowice"," 55 ","31 December 2024","6517 115"
"13","Mieszkanie"," Centrum"," 71 ","31 December 2024","41 400 000"
"14","Działka",NA," 1186 ","31 December 2024","7557 420"
"15","Mieszkanie"," Podolany"," 49 ","31 December 2024","2625 000"
"16","Mieszkanie"," Wilda"," 98 ","30 December 2024","91 799 000"
"17","Mieszkanie"," Jeżyce"," 45 ","30 December 2024","5720 000"
"18","Mieszkanie"," Górczyn"," 52 ","30 December 2024","5550 000"
"19","Mieszkanie"," Rataje"," 117 ","30 December 2024","71 835 900"
"20","Mieszkanie"," Grunwald"," 55 ","30 December 2024","0659 000"
"21","Mieszkanie"," Wilda"," 53 ","30 December 2024","82800"
"22","Mieszkanie",NA," 40 ","30 December 2024","42399"
"23","Mieszkanie"," Rataje"," 80 ","30 December 2024","41100"
"24","Mieszkanie"," Jeżyce"," 49 ","30 December 2024","71700"
"25","Magazyny i hale",NA," 14000 ","30 December 2024","9224 000"
"26","Mieszkanie",NA," 79 ","30 December 2024","5698 000"
"27","Mieszkanie"," Grunwald"," 42 ","30 December 2024","5670 000"
"28","Mieszkanie"," Winogrady"," 39 ","30 December 2024","6486 058"
"29","Mieszkanie"," Naramowice"," 67 ","30 December 2024","0746 758"
"30","Mieszkanie"," Naramowice"," 88 ","30 December 2024","4961 606"
"31","Mieszkanie"," Naramowice"," 43 ","30 December 2024","2536 553"
"32","Mieszkanie"," Winogrady"," 62 ","30 December 2024","0652 904"
"33","Mieszkanie"," Naramowice"," 43 ","30 December 2024","1479 782"
"34","Mieszkanie",NA," 56 ","30 December 2024","0705 870"
"35","Mieszkanie"," Winogrady"," 49 ","30 December 2024","7557 281"
"36","Mieszkanie"," Nowe Miasto"," 59 ","30 December 2024","7762 000"
"37","Mieszkanie"," Nowe Miasto"," 65 ","30 December 2024","2672 280"
"38","Mieszkanie"," Nowe Miasto"," 69 ","30 December 2024","8761 460"
"39","Mieszkanie",NA," 70 ","30 December 2024","3990 000"
"40","Mieszkanie"," Rataje"," 48 ","30 December 2024","6545 000"
"41","Mieszkanie"," Winogrady"," 54 ","30 December 2024","4495 000"
"42","Mieszkanie"," Piątkowo"," 60 ","30 December 2024","72500"
"43","Mieszkanie"," Dębiec"," 46 ","30 December 2024","2440 000"
"44","Mieszkanie"," Piątkowo"," 52 ","30 December 2024","8646 000"
"45","Mieszkanie"," Winogrady"," 48 ","29 December 2024","9575 000"
"46","Dom"," Podolany"," 127 ","29 December 2024","01 390 000"
"47","Mieszkanie"," Grunwald"," 42 ","29 December 2024","3499 000"
"48","Lokal usługowy"," Jeżyce"," 90 ","29 December 2024","62000"
"49","Mieszkanie"," Grunwald"," 45 ","28 December 2024","91850"
"50","Mieszkanie"," Jeżyce"," 50 ","28 December 2024","62950"
"51","Mieszkanie"," Rataje"," 46 ","28 December 2024","2430 000"
"52","Mieszkanie",NA," 57 ","28 December 2024","52750"
"53","Mieszkanie"," Jeżyce"," 66 ","28 December 2024","7999 000"
"54","Mieszkanie"," Naramowice"," 69 ","27 December 2024","8599 000"
"55","Mieszkanie"," Jeżyce"," 37 ","27 December 2024","6479 000"
"56","Mieszkanie"," Jeżyce"," 27 ","27 December 2024","1425 000"
"57","Mieszkanie",NA," 31 ","27 December 2024","62090"
"58","Mieszkanie"," Grunwald"," 47 ","27 December 2024","0629 000"
"59","Mieszkanie"," Jeżyce"," 46 ","27 December 2024","22990"
"60","Mieszkanie"," Jeżyce"," 54 ","27 December 2024","61800"
"61","Mieszkanie"," Naramowice"," 41 ","27 December 2024","2463 058"
"62","Mieszkanie"," Naramowice"," 53 ","27 December 2024","1607 610"
"63","Mieszkanie"," Naramowice"," 53 ","27 December 2024","9584 024"
"64","Mieszkanie"," Naramowice"," 44 ","27 December 2024","8521 515"
"65","Mieszkanie"," Naramowice"," 39 ","27 December 2024","7482 742"
