,Details
0,"Działka, Poznań, 9999 m²Stan: Innyzakończona31 December 2024 o godzinie 15:57:223 490 000,00złZobacz aktualne oferty"
1,"Mieszkanie, Poznań, 60 m²Stan: Innyzakończona31 December 2024 o godzinie 15:56:53474 000,00złZobacz aktualne oferty"
2,"Mieszkanie, Poznań, 54 m²Stan: Innyzakończona31 December 2024 o godzinie 15:38:00556 818,00złZobacz aktualne oferty"
3,"Mieszkanie, Poznań, Grunwald, 53 m²Stan: Innyzakończona31 December 2024 o godzinie 15:37:15489 000,00złZobacz aktualne oferty"
4,"Mieszkanie, Poznań, Naramowice, 54 m²Stan: Innyzakończona31 December 2024 o godzinie 15:21:49640 500,00złZobacz aktualne oferty"
5,"Mieszkanie, Poznań, Sołacz, 65 m²Stan: Innyzakończona31 December 2024 o godzinie 15:00:54665 000,00złZobacz aktualne oferty"
6,"Mieszkanie, Poznań, Piątkowo, 88 m²Stan: Innyzakończona31 December 2024 o godzinie 12:36:49815 000,00złZobacz aktualne oferty"
7,"Mieszkanie, Poznań, Grunwald, 68 m²Stan: Innyzakończona31 December 2024 o godzinie 11:50:19660 000,00złZobacz aktualne oferty"
8,"Mieszkanie, Poznań, Rataje, 47 m²Stan: Innyzakończona31 December 2024 o godzinie 10:23:19537 950,00złZobacz aktualne oferty"
9,"Mieszkanie, Poznań, Piątkowo, 75 m²Stan: Innyzakończona31 December 2024 o godzinie 09:51:262200,00złZobacz aktualne oferty"
10,"Mieszkanie, Poznań, Łazarz, 60 m²Stan: Innyzakończona31 December 2024 o godzinie 08:39:06710 000,00złZobacz aktualne oferty"
11,"Mieszkanie, Poznań, Naramowice, 55 m²Stan: Innyzakończona31 December 2024 o godzinie 07:11:56517 115,00złZobacz aktualne oferty"
12,"Mieszkanie, Poznań, Centrum, 71 m²Stan: Innyzakończona31 December 2024 o godzinie 01:29:141 400 000,00złZobacz aktualne oferty"
13,"Działka, Poznań, 1186 m²Stan: Innyzakończona31 December 2024 o godzinie 00:05:37557 420,00złZobacz aktualne oferty"
14,"Mieszkanie, Poznań, Podolany, 49 m²Stan: Innyzakończona31 December 2024 o godzinie 00:05:32625 000,00złZobacz aktualne oferty"
15,"Mieszkanie, Poznań, Wilda, 98 m²Stan: Innyzakończona30 December 2024 o godzinie 21:02:491 799 000,00złZobacz aktualne oferty"
16,"Mieszkanie, Poznań, Jeżyce, 45 m²Stan: Innyzakończona30 December 2024 o godzinie 20:03:35720 000,00złZobacz aktualne oferty"
17,"Mieszkanie, Poznań, Górczyn, 52 m²Stan: Innyzakończona30 December 2024 o godzinie 19:04:25550 000,00złZobacz aktualne oferty"
18,"Mieszkanie, Poznań, Rataje, 117 m²Stan: Innyzakończona30 December 2024 o godzinie 18:46:571 835 900,00złZobacz aktualne oferty"
19,"Mieszkanie, Poznań, Grunwald, 55 m²Stan: Innyzakończona30 December 2024 o godzinie 17:33:00659 000,00złZobacz aktualne oferty"
20,"Mieszkanie, Poznań, Wilda, 53 m²Stan: Innyzakończona30 December 2024 o godzinie 17:32:582800,00złZobacz aktualne oferty"
21,"Mieszkanie, Poznań, 40 m²Stan: Innyzakończona30 December 2024 o godzinie 17:16:042399,00złZobacz aktualne oferty"
22,"Mieszkanie, Poznań, Rataje, 80 m²Stan: Innyzakończona30 December 2024 o godzinie 16:59:241100,00złZobacz aktualne oferty"
23,"Mieszkanie, Poznań, Jeżyce, 49 m²Stan: Innyzakończona30 December 2024 o godzinie 16:58:271700,00złZobacz aktualne oferty"
